Day of date,customer,ab test group name,customer sensitive to VT,impressions,installs,spend,clickthrough install,viewthrough install,viewthrough conversion rate,clickthrough conversion rate,installs conversion rate,cost per impression
2-Sep-22,customer_14,experiment,False,12365395,1217,10493,693,524,0.004237632522050448,0.005604349881261375,0.009841982403311822,0.8485778254556364
2-Sep-22,customer_15,control,False,4049802,736,10388,654,82,0.002024790347775027,0.01614893765176668,0.018173727999541707,2.5650636747179245
2-Sep-22,customer_15,experiment,False,3532653,804,10383,710,94,0.0026608897052724963,0.020098209475994385,0.022759099181266885,2.939150830834503
2-Sep-22,customer_16,control,False,18963965,5909,10451,5601,308,0.001624132927897726,0.029534962756997286,0.03115909568489501,0.5510978321252966
2-Sep-22,customer_16,experiment,False,16479615,5979,10521,5409,570,0.003458818667790479,0.03282236872645386,0.036281187394244345,0.6384251088390112
2-Sep-22,customer_17,control,False,1641799,1227,9606,1215,12,0.0007309055493394745,0.0740041868706218,0.07473509241996128,5.850898922462494
2-Sep-22,customer_17,experiment,False,2478762,1209,9643,1193,16,0.0006454835115271252,0.048128864328241275,0.0487743478397684,3.8902484385350427
2-Sep-22,customer_18,control,False,1550405,275,1058,266,9,0.0005804934839606426,0.01715680741483677,0.017737300898797412,0.6824023400337331
2-Sep-22,customer_18,experiment,False,1492119,293,1070,280,13,0.0008712441836073397,0.018765259339235008,0.019636503522842345,0.717100981892195
2-Sep-22,customer_19,control,True,1744153,70,355,70,0,0.0,0.004013409374062941,0.004013409374062941,0.20353718968462056
2-Sep-22,customer_19,experiment,True,3423129,72,357,58,14,0.00040898254199593414,0.0016943562454117271,0.0021033387874076614,0.1042905482089632
2-Sep-22,customer_20,control,True,1924401,483,8342,468,15,0.0007794633239122198,0.024319255706061263,0.025098719029973484,4.3348553653838255
2-Sep-22,customer_20,experiment,True,3457276,495,8398,478,17,0.0004917166000053221,0.013825913811914352,0.014317630411919675,2.429080004026291
2-Sep-22,customer_21,control,False,45580,28,687,26,2,0.004387889425186486,0.05704256252742431,0.0614304519526108,15.072400175515577
2-Sep-22,customer_21,experiment,False,250327,24,681,22,2,0.0007989549669032904,0.008788504635936195,0.009587459602839486,2.720441662305704
2-Sep-22,customer_22,control,False,1967640,155,674,134,21,0.0010672684027566018,0.006810188855684983,0.007877457258441585,0.34254233497997605
2-Sep-22,customer_22,experiment,False,2123049,148,676,123,25,0.0011775517192490611,0.005793554458705381,0.006971106177954442,0.31840998488494615
2-Sep-22,customer_23,control,True,59062,111,1024,102,9,0.015238224238935356,0.17269987470793405,0.1879380989468694,17.337712911855338
2-Sep-22,customer_23,experiment,True,244411,116,1019,101,15,0.0061372033173629666,0.041323835670243975,0.04746103898760694,4.169206786928576
2-Sep-22,customer_24,control,False,628256,682,424,633,49,0.0077993684103295465,0.100755106198747,0.10855447460907655,0.6748841236693323
2-Sep-22,customer_24,experiment,False,1255936,669,430,587,82,0.006528995108030982,0.04673805034651447,0.05326704545454545,0.3423741337138198
2-Sep-22,customer_25,control,False,11848161,10723,7382,8319,2404,0.02029006864440819,0.07021342805858226,0.09050349670299045,0.6230502775916026
2-Sep-22,customer_25,experiment,False,23848844,11989,7412,7734,4255,0.01784153563166416,0.032429244788552435,0.05027078042021659,0.3107907452453461
2-Sep-22,customer_26,control,False,83148,184,557,165,19,0.022850820224178572,0.1984413335257613,0.22129215374993988,6.698898349930245
2-Sep-22,customer_26,experiment,False,254723,213,562,172,41,0.01609591595576371,0.06752433035100874,0.08362024630677245,2.2063182358876112
2-Sep-22,customer_27,control,False,2502497,631,3667,598,33,0.0013186828995199594,0.023896132542816237,0.025214815442336197,1.4653364219817246
2-Sep-22,customer_27,experiment,False,2936497,680,3693,644,36,0.0012259505117832572,0.02193089248856716,0.023156843000350417,1.2576209000043248
2-Sep-22,customer_28,control,False,7157952,560,2695,395,165,0.002305128617794587,0.005518338206235526,0.007823466824030113,0.37650434090644924
2-Sep-22,customer_28,experiment,False,7086766,608,2696,446,162,0.0022859510247692674,0.00629342072251292,0.008579371747282188,0.38042740510974965
2-Sep-22,customer_29,control,False,2985075,61,508,39,22,0.0007369999078750115,0.0013064998366875205,0.002043499744562532,0.17017997872750265
2-Sep-22,customer_29,experiment,False,1374047,68,511,48,20,0.0014555542859887617,0.0034933302863730284,0.00494888457236179,0.37189412007012856
2-Sep-22,customer_30,control,False,3991097,623,5360,579,44,0.0011024537865153363,0.014507289599826815,0.015609743386342152,1.3429891581186826
2-Sep-22,customer_30,experiment,False,6368313,596,5370,546,50,0.0007851372883210985,0.008573699188466396,0.009358836476787495,0.8432374476568598
3-Sep-22,customer_1,control,False,12792072,4437,41134,4198,239,0.0018683447060022802,0.03281720115396474,0.03468554585996701,3.2155854032091127
3-Sep-22,customer_1,experiment,False,52099330,4731,41442,3439,1292,0.0024798783400861394,0.0066008526405234,0.00908073098060954,0.7954420910979085
3-Sep-22,customer_2,control,False,38857090,3289,7757,3019,270,0.0006948538863821249,0.007769495862917167,0.00846434974929929,0.19962894802467196
3-Sep-22,customer_2,experiment,False,28431939,3213,7805,2866,347,0.00122045844288003,0.01008021296050192,0.011300671403381951,0.2745152203653785
3-Sep-22,customer_3,control,False,33208261,3319,13638,2711,608,0.0018308697344916677,0.008163631332577156,0.009994501067068822,0.4106809447203513
3-Sep-22,customer_3,experiment,False,75020246,4160,13751,2281,1879,0.0025046572094684946,0.003040512557103585,0.005545169766572079,0.18329718620224197
3-Sep-22,customer_4,control,True,4868849,4563,4024,4254,309,0.006346469155235662,0.08737177924392397,0.09371824839915964,0.826478701639751
3-Sep-22,customer_4,experiment,True,4340962,4622,4063,4276,346,0.007970583478961575,0.09850351143364075,0.10647409491260232,0.9359676495670776
3-Sep-22,customer_5,control,True,24585792,1603,16922,1246,357,0.0014520581643251518,0.005067967710781902,0.006520025875107053,0.688283704669754
3-Sep-22,customer_5,experiment,True,19532089,1626,16938,1281,345,0.0017663241243678544,0.006558438270478903,0.008324762394846757,0.8671883483635571
3-Sep-22,customer_6,control,False,4603301,302,4365,288,14,0.0003041295800557035,0.006256379932574472,0.006560509512630175,0.9482325835308184
3-Sep-22,customer_6,experiment,False,4112304,309,4371,294,15,0.00036475902559732936,0.007149276901707655,0.007514035927304986,1.0629078005906178
3-Sep-22,customer_7,control,False,3082755,518,1258,449,69,0.0022382576623831605,0.014564894063913609,0.016803151726296768,0.4080765419243501
3-Sep-22,customer_7,experiment,False,11913513,624,1265,436,188,0.001578039995423684,0.003659709776620884,0.005237749772044568,0.10618194650058299
3-Sep-22,customer_8,control,False,3317785,628,14642,576,52,0.0015673107208574396,0.017360980292574716,0.018928291013432155,4.413185302845122
3-Sep-22,customer_8,experiment,False,27962528,654,14851,434,220,0.0007867672050252396,0.0015520771226406997,0.002338844327665939,0.5311036255377196
3-Sep-22,customer_9,control,False,3929008,461,12559,388,73,0.0018579753464487729,0.009875266224960601,0.011733241571409373,3.1964811474041284
3-Sep-22,customer_9,experiment,False,2690505,484,12557,403,81,0.0030105872317650407,0.014978600671621128,0.017989187903386168,4.667153564107854
3-Sep-22,customer_10,control,False,2877304,344,6995,183,161,0.005595515802292702,0.006360120446084251,0.011955636248376953,2.431095219691767
3-Sep-22,customer_10,experiment,False,8053627,2436,7197,63,2373,0.029464985155135688,0.0007822562430566998,0.03024724139819239,0.8936346319490585
3-Sep-22,customer_11,control,False,114735854,5151,12800,2581,2570,0.0022399275469723702,0.0022495147855002675,0.004489442332472638,0.11156059377916862
3-Sep-22,customer_11,experiment,False,131049284,5246,12887,2322,2924,0.0022312216524586277,0.0017718524887171455,0.004003074141175773,0.098337050052101
3-Sep-22,customer_12,control,False,518238,867,2358,803,64,0.01234953824304663,0.1549481126432257,0.16729765088627233,4.550032996422493
3-Sep-22,customer_12,experiment,False,1466205,828,2364,683,145,0.009889476573876095,0.046582844827292226,0.05647232140116832,1.6123256979753853
3-Sep-22,customer_13,control,False,933468,23,351,23,0,0.0,0.0024639302043562286,0.0024639302043562286,0.3760171746647984
3-Sep-22,customer_13,experiment,False,685464,14,342,14,0,0.0,0.0020424121471003583,0.0020424121471003583,0.49893211022023043
3-Sep-22,customer_14,control,False,3819812,985,10542,838,147,0.003848356934843914,0.021938252458497957,0.02578660939334187,2.7598216875594925
3-Sep-22,customer_14,experiment,False,12417300,1390,10697,758,632,0.00508967327840996,0.006104386621890427,0.011194059900300387,0.8614594154929011
3-Sep-22,customer_15,control,False,5734472,646,10018,549,97,0.0016915245204789562,0.009573680017968524,0.01126520453844748,1.7469786233152764
3-Sep-22,customer_15,experiment,False,5160093,665,10071,591,74,0.0014340826802927778,0.01145328194666259,0.012887364626955366,1.9517090098957517
3-Sep-22,customer_16,control,False,17910829,5831,10469,5511,320,0.0017866286367872754,0.030769095054170862,0.03255572369095813,0.5845067249539371
3-Sep-22,customer_16,experiment,False,15731965,5971,10554,5331,640,0.00406815041859043,0.03388642168985248,0.037954572108442906,0.6708634299656782
3-Sep-22,customer_17,control,False,1573603,1454,9441,1440,14,0.0008896780191700193,0.09150973911463058,0.0923994171338006,5.999607270702967
3-Sep-22,customer_17,experiment,False,2277293,1457,9514,1431,26,0.0011417064031725387,0.06283776395922702,0.06397947036239957,4.177767199916744
3-Sep-22,customer_18,control,False,1635229,295,1062,285,10,0.0006115351427842828,0.017428751569352058,0.018040286712136342,0.6494503216369084
3-Sep-22,customer_18,experiment,False,1566535,332,1058,316,16,0.0010213624336513388,0.02017190806461394,0.02119327049826528,0.6753759092519478
3-Sep-22,customer_19,control,True,1754295,93,352,89,4,0.00022801182241299214,0.005073263048689074,0.005301274871102066,0.20065040372343304
3-Sep-22,customer_19,experiment,True,2800363,93,355,82,11,0.00039280621833669415,0.0029281918094189933,0.0033209980277556874,0.12676927955411496
3-Sep-22,customer_20,control,True,1827033,501,8094,481,20,0.001094670977480976,0.02632683700841747,0.027421507985898447,4.4301334458655095
3-Sep-22,customer_20,experiment,True,3360961,535,8077,514,21,0.0006248212936716612,0.015293244997487325,0.015918066291158987,2.403181709040956
3-Sep-22,customer_21,control,False,34355,29,689,28,1,0.0029107844564110028,0.08150196477950808,0.08441274923591909,20.05530490467181
3-Sep-22,customer_21,experiment,False,927673,28,703,23,5,0.0005389830252686021,0.00247932191623557,0.0030183049415041722,0.7578101335276547
3-Sep-22,customer_22,control,False,2015989,165,668,144,21,0.0010416723503947692,0.007142896116992702,0.00818456846738747,0.3313510143160503
3-Sep-22,customer_22,experiment,False,2205217,183,674,149,34,0.0015417983808396181,0.006756704668973621,0.008298503049813239,0.3056388554958537
3-Sep-22,customer_23,control,True,60830,96,1006,89,7,0.01150747986191024,0.14630938681571592,0.15781686667762615,16.537892487259576
3-Sep-22,customer_23,experiment,True,188627,90,1005,86,4,0.0021205871905930753,0.04559262459775112,0.047713211788344194,5.327975316365102
3-Sep-22,customer_24,control,False,608194,749,419,698,51,0.008385482263882907,0.1147660121605935,0.1231514944244764,0.6889249154052819
3-Sep-22,customer_24,experiment,False,1489581,757,432,682,75,0.005034972921915626,0.04578468710328609,0.05081966002520172,0.2900144403023401
3-Sep-22,customer_25,control,False,11762941,10200,7264,8059,2141,0.018201230457587095,0.06851177779434582,0.08671300825193291,0.6175326391588634
3-Sep-22,customer_25,experiment,False,26514927,11571,7329,7574,3997,0.01507452764248606,0.028565041872451694,0.043639569514937755,0.27641034048481444
3-Sep-22,customer_26,control,False,89030,212,585,192,20,0.022464337863641468,0.2156576434909581,0.23812198135459958,6.57081882511513
3-Sep-22,customer_26,experiment,False,330482,241,594,202,39,0.011800945285976241,0.0611228448145436,0.07292379010051984,1.7973747435563812
3-Sep-22,customer_27,control,False,2862737,735,3667,702,33,0.00115274298686886,0.0245219871752103,0.02567473016207916,1.2809419796509425
3-Sep-22,customer_27,experiment,False,3636838,698,3689,651,47,0.0012923314153668653,0.017900164923485732,0.019192496338852595,1.0143426789975247
3-Sep-22,customer_28,control,False,6980774,655,2713,461,194,0.002779061462239001,0.006603852237588554,0.009382913699827555,0.38863885294094896
3-Sep-22,customer_28,experiment,False,6863432,680,2715,479,201,0.002928564018700848,0.006979015746058241,0.009907579764759089,0.3955746920782489
3-Sep-22,customer_29,control,False,2955152,72,490,40,32,0.0010828546213528102,0.0013535682766910129,0.002436422898043823,0.16581211389464906
3-Sep-22,customer_29,experiment,False,1431050,67,491,48,19,0.001327696446665036,0.0033541804968379857,0.004681876943503022,0.3431047133223856
3-Sep-22,customer_30,control,False,5038940,717,5355,673,44,0.000873199522121716,0.013355983599725339,0.014229183121847056,1.0627235093094975
3-Sep-22,customer_30,experiment,False,8339830,744,5379,683,61,0.0007314297773455814,0.008189615375852985,0.008921045153198566,0.6449771757937512
4-Sep-22,customer_1,control,False,11762954,4389,41152,4170,219,0.0018617772372483985,0.035450278901031154,0.03731205613827955,3.4984409528422877
4-Sep-22,customer_1,experiment,False,53527453,4909,41410,3516,1393,0.002602402920236089,0.00656859200829152,0.00917099492852761,0.7736217151972465
4-Sep-22,customer_2,control,False,36323891,3395,7690,3111,284,0.0007818545650850015,0.008564611098519154,0.009346465663604154,0.21170639455998808
4-Sep-22,customer_2,experiment,False,27122563,3542,7716,3147,395,0.0014563520416562403,0.011602885759727058,0.013059237801383298,0.2844863886941658
4-Sep-22,customer_3,control,False,33465772,3312,13641,2630,682,0.0020379030849788852,0.007858775826238224,0.00989667891121711,0.4076104982726829
4-Sep-22,customer_3,experiment,False,76203102,4200,13747,2250,1950,0.002558950946642566,0.002952635707664499,0.005511586654307065,0.1803994803256172
4-Sep-22,customer_4,control,True,4544956,4701,3922,4359,342,0.007524825322841409,0.09590851924639095,0.10343334456923234,0.862934646672047
4-Sep-22,customer_4,experiment,True,4416604,4767,3963,4369,398,0.009011448615270918,0.09892215829175538,0.10793360690702629,0.8972957503095138
4-Sep-22,customer_5,control,True,26622882,1714,16906,1303,411,0.0015437847788229689,0.0048942860506236705,0.006438070829446639,0.6350176513572047
4-Sep-22,customer_5,experiment,True,20219557,1736,17056,1353,383,0.0018942056940218818,0.006691541263737875,0.008585746957759757,0.8435397471863504
4-Sep-22,customer_6,control,False,4421154,287,4372,277,10,0.0002261852900848964,0.00626533253535163,0.006491517825436526,0.988882088251167
4-Sep-22,customer_6,experiment,False,4092882,327,4380,309,18,0.00043978790495303793,0.007549692368360485,0.007989480273313523,1.0701505687190591
4-Sep-22,customer_7,control,False,3410359,501,1239,450,51,0.0014954437348091508,0.013195091777727798,0.01469053551253695,0.3633048602801054
4-Sep-22,customer_7,experiment,False,12078750,500,1238,358,142,0.001175618337990272,0.00296388285211632,0.004139501190106592,0.10249404946703923
4-Sep-22,customer_8,control,False,3490313,684,14614,632,52,0.0014898377308854534,0.01810725857537705,0.019597096306262503,4.187017038300003
4-Sep-22,customer_8,experiment,False,38298520,695,14837,456,239,0.000624045002261184,0.0011906465315108781,0.0018146915337720624,0.38740400412339693
4-Sep-22,customer_9,control,False,3864745,553,12555,463,90,0.0023287435522912894,0.011980091830120745,0.014308835382412035,3.248597255446349
4-Sep-22,customer_9,experiment,False,2534822,583,12540,474,109,0.00430010470163191,0.018699537876821333,0.02299964257845324,4.947092931969188
4-Sep-22,customer_10,control,False,3070936,381,7033,199,182,0.005926531845665296,0.006480108996084581,0.012406640841749875,2.290181234646375
4-Sep-22,customer_10,experiment,False,8436281,2270,7183,47,2223,0.026350473626945335,0.0005571175260757672,0.026907591153021097,0.8514415297451566
4-Sep-22,customer_11,control,False,119331363,4871,12587,2459,2412,0.0020212624236932582,0.002060648548864727,0.004081910972557986,0.10547939521984677
4-Sep-22,customer_11,experiment,False,133457548,5084,12648,2112,2972,0.002226925374052279,0.001582525703229614,0.0038094510772818937,0.09477170972750076
4-Sep-22,customer_12,control,False,447880,780,2357,734,46,0.010270608198624631,0.16388318299544521,0.17415379119406985,5.262570331338752
4-Sep-22,customer_12,experiment,False,1586536,944,2362,690,254,0.016009721809022926,0.04349097656781819,0.05950069837684112,1.4887780674374864
4-Sep-22,customer_13,control,False,1059379,31,379,31,0,0.0,0.0029262426383758785,0.0029262426383758785,0.3577567612724058
4-Sep-22,customer_13,experiment,False,697176,9,361,9,0,0.0,0.001290922234844573,0.001290922234844573,0.5178032519765454
4-Sep-22,customer_14,control,False,4307089,1195,10640,1003,192,0.004457767183357483,0.023287190025560185,0.02774495720891767,2.470345980777272
4-Sep-22,customer_14,experiment,False,13714884,1467,10807,788,679,0.004950825686896076,0.005745582682288818,0.010696408369184894,0.7879760412118688
4-Sep-22,customer_15,control,False,5671472,666,10239,592,74,0.0013047759029754533,0.010438207223803626,0.01174298312677908,1.8053514149413064
4-Sep-22,customer_15,experiment,False,5983814,638,10221,537,101,0.0016878866889913355,0.0089742094256272,0.010662096114618536,1.7081079057604396
4-Sep-22,customer_16,control,False,16819289,5931,10447,5584,347,0.002063107423863161,0.03319997652695069,0.03526308395081386,0.6211320823371309
4-Sep-22,customer_16,experiment,False,15066490,6166,10535,5490,676,0.004486778274170029,0.03643848036271222,0.04092525863688225,0.6992338626979475
4-Sep-22,customer_17,control,False,1675398,1392,9533,1381,11,0.0006565604113171915,0.0824281752753674,0.08308473568668459,5.68999127371526
4-Sep-22,customer_17,experiment,False,2388797,1366,9575,1342,24,0.0010046898083009984,0.056178905114164165,0.05718359492246516,4.008293714367524
4-Sep-22,customer_18,control,False,1572065,283,1057,271,12,0.0007633272161138376,0.017238472963904163,0.018001800180018002,0.6723640561936053
4-Sep-22,customer_18,experiment,False,1552327,341,1069,328,13,0.000837452418208277,0.021129568705562683,0.02196702112377096,0.6886435654343447
4-Sep-22,customer_19,control,True,1809317,87,347,79,8,0.0004421557969112101,0.0043662884944982005,0.00480844429140941,0.1917850769102374
4-Sep-22,customer_19,experiment,True,2619629,85,350,73,12,0.00045808013272108383,0.0027866541407199266,0.0032447342734410103,0.13360670537698277
4-Sep-22,customer_20,control,True,1967011,540,8135,522,18,0.0009150940182845953,0.026537726530253263,0.027452820548537857,4.1357165770806565
4-Sep-22,customer_20,experiment,True,4569005,554,8234,531,23,0.0005033918763494459,0.011621786362676339,0.012125178239025784,1.8021429173310164
4-Sep-22,customer_21,control,False,29636,33,694,33,0,0.0,0.11135105952220273,0.11135105952220273,23.417465244972334
4-Sep-22,customer_21,experiment,False,530776,28,702,27,1,0.00018840339427555127,0.005086891645439884,0.005275295039715435,1.32259182781437
4-Sep-22,customer_22,control,False,1582936,158,637,132,26,0.001642517448589204,0.008338934738991343,0.009981452187580547,0.40241677490435496
4-Sep-22,customer_22,experiment,False,1848717,169,647,137,32,0.0017309301531819095,0.007410544718310049,0.009141474871491959,0.3499724403464673
4-Sep-22,customer_23,control,True,84604,75,1002,68,7,0.00827384048035554,0.08037445038059665,0.0886482908609522,11.843411659023214
4-Sep-22,customer_23,experiment,True,497925,88,1001,83,5,0.0010041672942712257,0.016669177084902346,0.017673344379173568,2.0103429231309935
4-Sep-22,customer_24,control,False,601440,727,420,670,57,0.009477254588986432,0.11139930832668263,0.12087656291566906,0.6983240223463687
4-Sep-22,customer_24,experiment,False,1549039,817,429,727,90,0.005810053846287924,0.0469323238472369,0.05274237769352482,0.276945900006391
4-Sep-22,customer_25,control,False,11779914,10184,7392,8068,2116,0.017962779694316953,0.06848946435432382,0.08645224404864076,0.6275088256162142
4-Sep-22,customer_25,experiment,False,31828502,11280,7429,7110,4170,0.013101464844308413,0.022338468835259667,0.035439933679568075,0.233407151866588
4-Sep-22,customer_26,control,False,88689,201,606,184,17,0.019168104274487254,0.20746654038268555,0.2266346446571728,6.832865406081926
4-Sep-22,customer_26,experiment,False,345724,270,598,223,47,0.01359465932362231,0.06450231976952714,0.07809697909314946,1.7297034628779027
4-Sep-22,customer_27,control,False,2744346,753,3673,706,47,0.0017126120394440059,0.025725619145690815,0.027438231185134818,1.3383880895484752
4-Sep-22,customer_27,experiment,False,3384959,830,3689,771,59,0.0017430048635744186,0.022777233047726723,0.024520237911301142,1.0898211765637338
4-Sep-22,customer_28,control,False,6273517,669,2647,452,217,0.0034589848086806815,0.0072048900162381005,0.010663874824918783,0.42193238657040383
4-Sep-22,customer_28,experiment,False,5664242,726,2654,504,222,0.003919324068427868,0.00889792491210651,0.012817248980534376,0.46855342691925944
4-Sep-22,customer_29,control,False,2043776,63,494,40,23,0.0011253679463894281,0.001957161645894658,0.003082529592284086,0.24170946326799023
4-Sep-22,customer_29,experiment,False,859517,62,494,46,16,0.001861510592576994,0.0053518429536588575,0.007213353546235851,0.5747413954581468
4-Sep-22,customer_30,control,False,3510634,702,5365,657,45,0.0012818197510763012,0.018714568365713998,0.019996388116790303,1.5282139921165236
4-Sep-22,customer_30,experiment,False,6699522,738,5367,673,65,0.0009702184723029494,0.010045492797844384,0.011015711270147333,0.8011019293615276
5-Sep-22,customer_1,control,False,11326493,4217,41080,4022,195,0.0017216273386651986,0.0355096674672381,0.037231294805903294,3.626894926788018
5-Sep-22,customer_1,experiment,False,57230875,4500,41479,3159,1341,0.0023431408308889215,0.0055197478633692044,0.007862888694258125,0.7247661336647395
5-Sep-22,customer_2,control,False,30789012,3261,8048,2987,274,0.0008899278742689113,0.009701512994311087,0.010591440868579998,0.2613919537268685
5-Sep-22,customer_2,experiment,False,23306170,3248,8069,2933,315,0.0013515734245480918,0.012584650330792231,0.013936223755340324,0.3462173321485255
5-Sep-22,customer_3,control,False,31389953,3140,13283,2545,595,0.0018955109617398915,0.008107689743912646,0.010003200705652537,0.42316087571077277
5-Sep-22,customer_3,experiment,False,72965966,3968,13410,2187,1781,0.002440864005007485,0.002997287804015368,0.0054381518090228535,0.18378431390876124
5-Sep-22,customer_4,control,True,5911571,4424,5056,4142,282,0.004770305558370186,0.07006597738570677,0.07483628294407697,0.8552718050751653
5-Sep-22,customer_4,experiment,True,5287302,4486,5104,4201,285,0.005390272770498072,0.07945451196092071,0.0848447847314188,0.9653316568639355
5-Sep-22,customer_5,control,True,27495796,1704,16876,1270,434,0.0015784231160283558,0.004618887920175143,0.006197311036203498,0.6137665554399662
5-Sep-22,customer_5,experiment,True,21012883,1747,16995,1310,437,0.002079676548905736,0.006234270661479436,0.008313947210385171,0.808789541159107
5-Sep-22,customer_6,control,False,3839241,285,4330,273,12,0.00031256177978928646,0.007110780490206267,0.007423342269995554,1.1278270887396755
5-Sep-22,customer_6,experiment,False,3744924,278,4386,263,15,0.0004005421738865728,0.007022839448811245,0.007423381622697817,1.1711853164443389
5-Sep-22,customer_7,control,False,2404324,359,1254,320,39,0.0016220775569349222,0.013309354313312182,0.014931431870247104,0.5215603221529211
5-Sep-22,customer_7,experiment,False,11274107,420,1251,297,123,0.0010909954996879132,0.0026343549870513024,0.003725350486739216,0.11096222521216093
5-Sep-22,customer_8,control,False,3005563,668,13118,604,64,0.00212938474422263,0.02009606852360107,0.0222254532678237,4.364573292923821
5-Sep-22,customer_8,experiment,False,38430442,722,13278,406,316,0.0008222648076751239,0.0010564541516332286,0.0018787189593083523,0.3455073454528574
5-Sep-22,customer_9,control,False,4707355,639,12559,537,102,0.002166821920165358,0.011407680109105856,0.013574502029271214,2.6679525975839935
5-Sep-22,customer_9,experiment,False,3024012,602,12563,515,87,0.0028769727104257523,0.017030355699646695,0.019907328410072447,4.154414731158474
5-Sep-22,customer_10,control,False,3408394,390,7298,206,184,0.005398436917797649,0.006043902201447368,0.011442339119245016,2.1411843818525673
5-Sep-22,customer_10,experiment,False,9143819,2441,7483,59,2382,0.02605038441815176,0.0006452446182497707,0.026695629036401526,0.8183670302310228
5-Sep-22,customer_11,control,False,103879225,4715,12766,2479,2236,0.002152499693754935,0.002386425197146013,0.004538924890900947,0.12289271507368292
5-Sep-22,customer_11,experiment,False,122266319,4692,12859,2115,2577,0.0021076941066656306,0.001729830436786111,0.0038375245434517412,0.10517205478313288
5-Sep-22,customer_12,control,False,457966,690,2355,623,67,0.014629907023665513,0.13603629963796438,0.15066620666162991,5.142303140407804
5-Sep-22,customer_12,experiment,False,2315009,833,2356,604,229,0.009891970182405339,0.02609061131079836,0.0359825814932037,1.0177066266265056
